Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,0,18,6,33.3,0.91,0.3,0,0,20.3,3,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
2,Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,9.7,0,0,0,6.4,6.4,0.2,-0.4,-0.4,Matches
3,Che Adams,sco SCO,FW,Southampton,24,1996,29.6,9,56,31,55.4,1.89,1.05,0.16,0.29,13.1,0,0,0,8.8,8.8,0.16,0.2,0.2,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,0,20,5,25,0.61,0.15,0,0,8.8,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
5,Adrián,es ESP,GK,Liverpool,33,1987,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
6,Sergio Agüero,ar ARG,"FW,MF",Manchester City,32,1988,6.2,4,17,10,58.8,2.74,1.61,0.18,0.3,13.9,0,1,2,3.4,1.8,0.11,0.6,1.2,Matches
7,Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,2,14,4,28.6,0.47,0.14,0.14,0.5,25.2,1,0,0,1,1,0.07,1,1,Matches
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,15.6,1,16,6,37.5,1.03,0.38,0.06,0.17,19.7,0,0,0,0.6,0.6,0.04,0.4,0.4,Matches
9,Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,2,13,4,30.8,0.42,0.13,0.15,0.5,9,0,0,0,1.3,1.3,0.1,0.7,0.7,Matches
10,Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,1,3,1,33.3,0.34,0.11,0.33,1,16,0,0,0,0.1,0.1,0.04,0.9,0.9,Matches
11,Marc Albrighton,eng ENG,"DF,FW",Leicester City,30,1989,19.4,1,21,9,42.9,1.08,0.46,0.05,0.11,20.9,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
12,Thiago Alcántara,es ESP,MF,Liverpool,29,1991,20.6,1,22,5,22.7,1.07,0.24,0.05,0.2,21,1,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
13,Toby Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,1,11,3,27.3,0.44,0.12,0.09,0.33,7.6,0,0,0,0.8,0.8,0.08,0.2,0.2,Matches
14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,2,56,11,19.6,1.66,0.33,0.04,0.18,23.7,16,0,0,2.8,2.8,0.05,-0.8,-0.8,Matches
16,Ezgjan Alioski,mk MKD,DF,Leeds United,28,1992,27.3,2,25,8,32,0.91,0.29,0.08,0.25,18.6,0,0,0,1.5,1.5,0.06,0.5,0.5,Matches
17,Alisson,br BRA,GK,Liverpool,27,1992,33,1,1,1,100,0.03,0.03,1,1,6,0,0,0,0.1,0.1,0.1,0.9,0.9,Matches
18,Allan,br BRA,MF,Everton,29,1991,22.8,0,7,2,28.6,0.31,0.09,0,0,21.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
19,Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,0,12,4,33.3,1.74,0.58,0,0,14.2,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches
20,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,26,1994,27,4,33,13,39.4,1.22,0.48,0.12,0.31,18.4,1,0,0,3.2,3.2,0.1,0.8,0.8,Matches
21,Marcos Alonso,es ESP,DF,Chelsea,29,1990,10.7,2,22,9,40.9,2.06,0.84,0.09,0.22,17.2,5,0,0,1.7,1.7,0.08,0.3,0.3,Matches
22,Steven Alzate,co COL,"MF,DF",Brighton,21,1998,10,1,7,2,28.6,0.7,0.2,0.14,0.5,17.2,0,0,0,0.7,0.7,0.1,0.3,0.3,Matches
23,Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8,1,3,1,33.3,0.37,0.12,0.33,1,10.8,0,0,0,0.4,0.4,0.13,0.6,0.6,Matches
24,Ethan Ampadu,wal WAL,"DF,MF",Sheffield Utd,19,2000,23.2,0,7,2,28.6,0.3,0.09,0,0,17.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
25,Joachim Andersen,dk DEN,DF,Fulham,24,1996,30.3,1,13,3,23.1,0.43,0.1,0.08,0.33,15.4,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
26,Elliot Anderson,sco SCO,MF,Newcastle Utd,17,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
27,Felipe Anderson,br BRA,"FW,MF",West Ham,27,1993,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
28,Michail Antonio,eng ENG,FW,West Ham,30,1990,21.9,10,64,23,35.9,2.92,1.05,0.16,0.43,12.8,0,0,0,11.4,11.4,0.18,-1.4,-1.4,Matches
29,Alphonse Areola,fr FRA,GK,Fulham,27,1993,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
30,Stuart Armstrong,sco SCO,MF,Southampton,28,1992,30.7,4,54,12,22.2,1.76,0.39,0.07,0.33,20.8,0,0,0,3,3,0.05,1,1,Matches
31,Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
32,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31,1989,25.9,10,56,19,33.9,2.16,0.73,0.14,0.42,13.5,0,2,2,10.6,9.1,0.16,-0.6,-1.1,Matches
33,Serge Aurier,ci CIV,DF,Tottenham,27,1992,17.8,2,14,6,42.9,0.79,0.34,0.14,0.33,16.4,0,0,0,1.4,1.4,0.1,0.6,0.6,Matches
34,Charlie Austin,eng ENG,FW,West Brom,31,1989,1.5,0,3,0,0,1.96,0,0,,19.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
35,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,28,1991,23.3,1,25,11,44,1.07,0.47,0.04,0.09,16.7,0,0,0,2.4,2.4,0.09,-1.4,-1.4,Matches
36,Luke Ayling,eng ENG,DF,Leeds United,28,1991,37.8,0,25,6,24,0.66,0.16,0,0,18.6,0,0,0,1.4,1.4,0.06,-1.4,-1.4,Matches
37,César Azpilicueta,es ESP,DF,Chelsea,30,1989,24.3,1,11,4,36.4,0.45,0.16,0.09,0.25,16.1,0,0,0,0.8,0.8,0.07,0.2,0.2,Matches
38,Eric Bailly,ci CIV,DF,Manchester Utd,26,1994,10.2,0,2,0,0,0.2,0,0,,10,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
39,Fabián Balbuena,py PAR,DF,West Ham,28,1991,13.3,1,8,2,25,0.6,0.15,0.13,0.5,9.6,0,0,0,0.6,0.6,0.08,0.4,0.4,Matches
40,George Baldock,eng ENG,DF,Sheffield Utd,27,1993,31,0,13,2,15.4,0.42,0.06,0,0,16.5,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
41,Gareth Bale,wal WAL,FW,Tottenham,31,1989,10.2,11,38,19,50,3.72,1.86,0.29,0.58,18.2,7,0,0,5.3,5.3,0.15,5.7,5.7,Matches
42,Patrick Bamford,eng ENG,FW,Leeds United,26,1993,33.9,17,105,45,42.9,3.1,1.33,0.14,0.33,12.7,0,2,2,17.3,15.7,0.15,-0.3,-0.7,Matches
43,Phil Bardsley,sco SCO,DF,Burnley,35,1985,3,0,4,0,0,1.31,0,0,,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
44,Ross Barkley,eng ENG,MF,Aston Villa,26,1993,17,3,38,11,28.9,2.23,0.65,0.08,0.27,18.4,2,0,0,3.2,3.2,0.08,-0.2,-0.2,Matches
45,Ross Barkley,eng ENG,MF,Chelsea,26,1993,0.5,0,1,1,100,2.14,2.14,0,0,28,0,0,0,0,0,0.03,0,0,Matches
46,Ashley Barnes,eng ENG,FW,Burnley,30,1989,14.8,3,39,12,30.8,2.64,0.81,0.05,0.17,15.7,0,1,1,5.1,4.4,0.11,-2.1,-2.4,Matches
47,Harvey Barnes,eng ENG,"FW,MF",Leicester City,22,1997,21.6,9,55,25,45.5,2.54,1.16,0.16,0.36,16.9,0,0,0,6.2,6.2,0.11,2.8,2.8,Matches
48,Kyle Bartley,eng ENG,DF,West Brom,29,1991,28.7,3,14,5,35.7,0.49,0.17,0.21,0.6,8.2,0,0,0,2.1,2.1,0.15,0.9,0.9,Matches
49,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32,1988,28.6,0,10,1,10,0.35,0.03,0,0,13.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
50,Michy Batshuayi,be BEL,FW,Crystal Palace,26,1993,8.1,2,12,6,50,1.48,0.74,0.17,0.33,16.9,0,0,0,1.4,1.4,0.11,0.6,0.6,Matches
51,Jan Bednarek,pl POL,DF,Southampton,24,1996,34.4,1,10,5,50,0.29,0.15,0.1,0.2,8.9,0,0,0,1,1,0.1,0,0,Matches
52,Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23,1997,5.8,1,2,1,50,0.34,0.17,0.5,1,18.6,0,0,0,0.3,0.3,0.14,0.7,0.7,Matches
53,Héctor Bellerín,es ESP,DF,Arsenal,25,1995,23.2,1,15,5,33.3,0.65,0.22,0.07,0.2,19.1,0,0,0,0.8,0.8,0.05,0.2,0.2,Matches
54,Saïd Benrahma,dz ALG,"FW,MF",West Ham,24,1995,15.5,1,35,11,31.4,2.26,0.71,0.03,0.09,19.9,1,0,0,2.3,2.3,0.07,-1.3,-1.3,Matches
55,Josh Benson,eng ENG,MF,Burnley,20,1999,2.9,0,2,0,0,0.68,0,0,,23.5,1,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
56,Christian Benteke,be BEL,FW,Crystal Palace,29,1990,20.2,10,71,33,46.5,3.52,1.64,0.14,0.3,11.5,0,0,0,8.1,8.1,0.11,1.9,1.9,Matches
57,Gaetano Berardi,ch SUI,DF,Leeds United,31,1988,1.3,0,1,0,0,0.8,0,0,,9.4,0,0,0,0,0,0.03,0,0,Matches
