Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,22,20,"1,777",19.7,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,1.2,1.2,0.8,2,0.06,0.04,0.1,0.06,0.1,Matches
2,Tammy Abraham,eng ENG,FW,Chelsea,22,1997,22,12,"1,040",11.6,6,1,6,0,0,0,0,0.52,0.09,0.61,0.52,0.61,6.4,6.4,0.9,7.3,0.56,0.07,0.63,0.56,0.63,Matches
3,Che Adams,sco SCO,FW,Southampton,24,1996,36,30,"2,667",29.6,9,5,9,0,0,1,0,0.3,0.17,0.47,0.3,0.47,8.8,8.8,5.8,14.5,0.3,0.19,0.49,0.3,0.49,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,33,33,"2,953",32.8,0,0,0,0,0,1,0,0,0,0,0,0,1.1,1.1,0.4,1.5,0.03,0.01,0.04,0.03,0.04,Matches
5,Adrián,es ESP,GK,Liverpool,33,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Sergio Agüero,ar ARG,"FW,MF",Manchester City,32,1988,12,7,559,6.2,4,1,3,1,2,0,0,0.64,0.16,0.81,0.48,0.64,3.4,1.8,1.3,3.1,0.54,0.21,0.75,0.3,0.51,Matches
7,Ola Aina,ng NGA,DF,Fulham,23,1996,31,31,"2,664",29.6,2,1,2,0,0,3,0,0.07,0.03,0.1,0.07,0.1,1,1,1.4,2.3,0.03,0.05,0.08,0.03,0.08,Matches
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,21,16,"1,404",15.6,1,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,0.6,0.6,1,1.6,0.04,0.06,0.1,0.04,0.1,Matches
9,Semi Ajayi,ng NGA,DF,West Brom,26,1993,33,31,"2,780",30.9,2,0,2,0,0,3,1,0.06,0,0.06,0.06,0.06,1.3,1.3,0.3,1.5,0.04,0.01,0.05,0.04,0.05,Matches
10,Nathan Aké,nl NED,DF,Manchester City,25,1995,10,9,797,8.9,1,0,1,0,0,4,0,0.11,0,0.11,0.11,0.11,0.1,0.1,0,0.1,0.01,0,0.02,0.01,0.02,Matches
11,Marc Albrighton,eng ENG,"DF,FW",Leicester City,30,1989,31,17,"1,746",19.4,1,5,1,0,0,2,0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,4.4,5.7,0.07,0.23,0.29,0.07,0.29,Matches
12,Thiago Alcántara,es ESP,MF,Liverpool,29,1991,24,20,"1,854",20.6,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,1.4,1.4,2.3,3.7,0.07,0.11,0.18,0.07,0.18,Matches
13,Toby Alderweireld,be BEL,DF,Tottenham,31,1989,25,25,"2,240",24.9,1,0,1,0,0,2,0,0.04,0,0.04,0.04,0.04,0.8,0.8,0.3,1.2,0.03,0.01,0.05,0.03,0.05,Matches
14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,36,34,"3,031",33.7,2,7,2,0,0,2,0,0.06,0.21,0.27,0.06,0.27,2.8,2.8,8.1,10.8,0.08,0.24,0.32,0.08,0.32,Matches
16,Ezgjan Alioski,mk MKD,DF,Leeds United,28,1992,36,29,"2,461",27.3,2,3,2,0,0,7,0,0.07,0.11,0.18,0.07,0.18,1.5,1.5,3.1,4.6,0.05,0.11,0.17,0.05,0.17,Matches
17,Alisson,br BRA,GK,Liverpool,27,1992,33,33,"2,970",33,1,0,1,0,0,1,0,0.03,0,0.03,0.03,0.03,0.1,0.1,0,0.1,0,0,0,0,0,Matches
18,Allan,br BRA,MF,Everton,29,1991,24,23,"2,051",22.8,0,0,0,0,0,6,0,0,0,0,0,0,0.2,0.2,0.9,1.1,0.01,0.04,0.05,0.01,0.05,Matches
19,Dele Alli,eng ENG,MF,Tottenham,24,1996,15,7,620,6.9,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,1.3,1.3,0.9,2.2,0.19,0.13,0.32,0.19,0.32,Matches
20,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,26,1994,34,28,"2,429",27,4,1,4,0,0,3,0,0.15,0.04,0.19,0.15,0.19,3.2,3.2,2.8,5.9,0.12,0.1,0.22,0.12,0.22,Matches
21,Marcos Alonso,es ESP,DF,Chelsea,29,1990,13,11,960,10.7,2,0,2,0,0,2,0,0.19,0,0.19,0.19,0.19,1.7,1.7,1.1,2.8,0.16,0.11,0.27,0.16,0.27,Matches
22,Steven Alzate,co COL,"MF,DF",Brighton,21,1998,15,10,896,10,1,0,1,0,0,2,0,0.1,0,0.1,0.1,0.1,0.7,0.7,0.5,1.1,0.07,0.05,0.11,0.07,0.11,Matches
23,Daniel Amartey,gh GHA,DF,Leicester City,25,1994,12,8,722,8,1,0,1,0,0,3,0,0.12,0,0.12,0.12,0.12,0.4,0.4,0,0.4,0.05,0,0.05,0.05,0.05,Matches
24,Ethan Ampadu,wal WAL,"DF,MF",Sheffield Utd,19,2000,25,23,"2,089",23.2,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.9,1.3,0.01,0.04,0.06,0.01,0.06,Matches
25,Joachim Andersen,dk DEN,DF,Fulham,24,1996,31,30,"2,730",30.3,1,1,1,0,0,7,1,0.03,0.03,0.07,0.03,0.07,1.1,1.1,0.5,1.6,0.04,0.02,0.05,0.04,0.05,Matches
26,Elliot Anderson,sco SCO,MF,Newcastle Utd,17,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Felipe Anderson,br BRA,"FW,MF",West Ham,27,1993,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Michail Antonio,eng ENG,FW,West Ham,30,1990,26,24,"1,974",21.9,10,5,10,0,0,3,0,0.46,0.23,0.68,0.46,0.68,11.4,11.4,2.3,13.7,0.52,0.11,0.62,0.52,0.62,Matches
29,Alphonse Areola,fr FRA,GK,Fulham,27,1993,36,36,"3,240",36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Stuart Armstrong,sco SCO,MF,Southampton,28,1992,33,32,"2,764",30.7,4,5,4,0,0,3,0,0.13,0.16,0.29,0.13,0.29,3,3,2.7,5.7,0.1,0.09,0.18,0.1,0.18,Matches
31,Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,7,6,585,6.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31,1989,29,26,"2,332",25.9,10,3,8,2,2,2,0,0.39,0.12,0.5,0.31,0.42,10.6,9.1,2.8,11.9,0.41,0.11,0.52,0.35,0.46,Matches
33,Serge Aurier,ci CIV,DF,Tottenham,27,1992,19,19,"1,605",17.8,2,3,2,0,0,0,0,0.11,0.17,0.28,0.11,0.28,1.4,1.4,1.9,3.2,0.08,0.11,0.18,0.08,0.18,Matches
34,Charlie Austin,eng ENG,FW,West Brom,31,1989,5,0,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.13,0,0.13,0.13,0.13,Matches
35,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,28,1991,33,23,"2,096",23.3,1,3,1,0,0,4,0,0.04,0.13,0.17,0.04,0.17,2.4,2.4,0.7,3,0.1,0.03,0.13,0.1,0.13,Matches
36,Luke Ayling,eng ENG,DF,Leeds United,28,1991,38,38,"3,399",37.8,0,0,0,0,0,7,0,0,0,0,0,0,1.4,1.4,2.6,4,0.04,0.07,0.1,0.04,0.1,Matches
37,César Azpilicueta,es ESP,DF,Chelsea,30,1989,26,24,"2,188",24.3,1,2,1,0,0,5,1,0.04,0.08,0.12,0.04,0.12,0.8,0.8,2.6,3.4,0.03,0.11,0.14,0.03,0.14,Matches
38,Eric Bailly,ci CIV,DF,Manchester Utd,26,1994,12,10,916,10.2,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches
39,Fabián Balbuena,py PAR,DF,West Ham,28,1991,14,13,"1,198",13.3,1,0,1,0,0,1,1,0.08,0,0.08,0.08,0.08,0.6,0.6,0,0.6,0.05,0,0.05,0.05,0.05,Matches
40,George Baldock,eng ENG,DF,Sheffield Utd,27,1993,32,32,"2,787",31,0,2,0,0,0,7,0,0,0.06,0.06,0,0.06,1.1,1.1,1.7,2.8,0.04,0.05,0.09,0.04,0.09,Matches
41,Gareth Bale,wal WAL,FW,Tottenham,31,1989,20,10,920,10.2,11,2,11,0,0,1,0,1.08,0.2,1.27,1.08,1.27,5.3,5.3,1.9,7.2,0.52,0.19,0.71,0.52,0.71,Matches
